window_start,num_ann,num_wd,num_ann_prefixes,num_wd_prefixes,avg_path_len,max_path_len,avg_unique_path,num_dup_ann,num_dup_wd,num_imp_wd,avg_edit_dist,max_edit_dist,avg_iat,as_len_eq_7,as_len_eq_8,as_len_eq_9,as_len_eq_10,as_len_eq_11,as_len_eq_12,as_len_eq_13,as_len_eq_14,as_len_eq_15,as_len_eq_16,as_len_eq_17,max_len_eq_7,max_len_eq_8,max_len_eq_9,max_len_eq_10,max_len_eq_11,max_len_eq_12,max_len_eq_13,max_len_eq_14,max_len_eq_15,num_igp,num_egp,num_incomplete,avg_packet_size,label
23,25,2,19,2,5.814814814814815,11,5.222222222222222,0,0,0,15.346153846153847,44,0.6153846153846154,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,22,2,18,2,6.083333333333333,12,4.958333333333333,0,0,0,19.17391304347826,53,0.8260869565217391,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,13,0,10,0,6.230769230769231,12,5.076923076923077,0,0,0,30.25,54,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,23,0,17,0,6.043478260869565,14,4.608695652173913,0,0,0,23.772727272727273,58,0.4090909090909091,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,19,2,16,2,4.714285714285714,10,4.095238095238095,0,0,0,16.85,33,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,20,1,17,1,5.761904761904762,13,4.9523809523809526,0,0,0,18.8,60,1.4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,22,1,19,1,5.043478260869565,8,4.695652173913044,0,0,0,18.136363636363637,41,1.1818181818181819,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,13,0,13,0,6.3076923076923075,10,5.3076923076923075,0,0,0,14.5,37,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,2849,4,1017,2,5.108307045215563,19,4.218717139852787,840,2,0,10.371669004207574,98,0.009817671809256662,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4607,4,1391,2,5.284103231403166,17,4.127954890479288,1234,2,0,6.89587852494577,84,0.006290672451193058,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2594,2,477,2,5.271186440677966,15,4.352850539291217,808,0,0,10.659344894026974,73,0.011175337186897881,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,2559,3,425,2,5.720140515222482,15,4.6303669008587045,926,1,0,12.73330730183522,73,0.011323701679031628,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
